comment
"All Indians should be united in the fight against dictatorship! 🇮🇳
Dont miss 27:13 part of video, we will achieve Mission 100 Crore together! Join my WhatsApp channel -  https://whatsapp.com/channel/0029Va7VFTRH5JLr9A5juL3J"
बहुत सुन्दर
Jawab nahi hai yaar mere tera
Ek ek baat message chahie
Gajway hind par video banao
मादरचोदो अनपढ़ मोदी जो कि मेरी पेशाब पिने के लायक नहीं उसको प्रधानमंत्री बनाया है 😂😂😂😂😂😂😂😂😂
DHRUV Bhai ko dil se salute.....❤❤❤❤
अंध भक्त ही देश की लुटिया डुबोने में लगे हैं
As a students I proud to you
"This WhatsApp Mafia is very dangerous, because I saw some brainwashed people's in my day to day life who support Masiha Modi.
But they haven't understand the real fact and they are totally brainwashed. It is very dangerous for INDIA 🇮🇳.
Support Dhruva Rathee to save INDIA 🇮🇳. 
Jai Hind🇮🇳❤"
Great
Very nice video God bless you Bhai
"go ahead brother 
love from bangladesh"
Sir me agra se hu ap se bahut essays hu good jop sir apke sat hamesha pura desh sat h
"Bahut khub Dhruv bhai, aaplog bhi freedom fighter ho."
Dhruv lol
Maharashtra ke politics per video banaye please
Dar lagta hai ki kahin grah yudh na ho jaaye.
Ap jese logo ki vajase aj bhi inshaniyet baki h ❤❤❤
Godi media system se desh bchao
Rahul Gandhi ke bare mein kuchh bol Bhai.. 😊😊
🇫 🇦 🇰 🇪  𝗜𝗡𝗙𝗢𝗥𝗠𝗔𝗧𝗜𝗢𝗡
14:11 😂
14:06 😂
2:55 😂
Thanks bhai. Eyashehi hame sachaishe wakip karte ra ho.
You are right sir
Reliable 😊
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
শান্তির ধর্ম ইসলাম
Sun lo gobar bhakto vaastvik bano . Bhai sahi kah raha he
Godi and Modi Well Exposed. Wish your Videos Popularity .
", धरती पुतर्"
Paki money is flooding to some rathee.
Who is Modi
😅😅😅😅😅😅😅😂😂😂😂😂
"Respect and love from Pakistan, dhurav really happy after seeing your video, i wish all humans live happily and together, never listen to politicalans."
Br. Abedakar vidio banavo
Gandhi ji ki baat sai na bharosa dilae.. unhone to khud do desh banwa diye.. religion ke naam per
"15❤वर्ष❤राज❤के❤❤❤ बाप❤ने❤भी❤क्याथाटबगडोर्रम,"
Thenku
❤
You are legend yaar
Julie is my darling Cassie
Ye bo dka view ke liye modi ke bare me video bna rha he..
ध्रुव राठी हलाला की गलती से पैदा हुआ है शायद।
Kyaa baat hai
Good Work
😅
"Modi hataoo kar rahe hai sab agar modi hata na 
Beta hinduoo ka haal bangladesh jaisa hoga bhulo mat mulle tumhe kahika nahi chodenge"
🎉❤
"Jaise PK movie me Amir khan ne kiya tha , ki wrong no. Hai ❤❤❤❤"
L🎉
So nice know
Dhruv bhai andbhakt and paid bhakt kaho anaa nu😂😂
Great sir ❤❤
Dhruv sir language change karne ka option dijiyega me logo ko dekhaunga ga❤
Itni haqeeqat bolnay pe to shareeqo ko heart attack hee na ajae bhae🤣
Kia apke mulk k intiha pasand log apko etna sach bolnay dete hen?
हम सब आपके साथ है।।।
😂 bhakton ko bahut teekhi mirchi lagegi isse ham to aapke bahut bade fan h Dhruv Rathi ji lajawab
Kyaa baat hai
"Now they are doing stock mrkt frud, 80% stocks are down but taking nifty everytime high😡"
Ky baat hai sir bahot badhiya
20 lakh likes out of 2 crore! Oh my god 10% likes out of total view that's a great record rathee ❤
Great Advice !
Aphkw Rahul Gandhi ne kharida kyaa Dhruv Bhai.. kitna 💯 corore
They are wash brain and most of them are hindu.
"They are brain washed so much, so that these Andhabhakts are turned to brainless."
Jay ho dhuruv rathi ji
Party delh ke vot fenewale sab pagal hae aadmi dekhke vot do pagal loog
Youtube pr bhi hai
Mission 100 crores
"😮tum

hare liye ager m kuch kr sakta hu to btana"
Video
Lgta he bhai  modi ki dukan bnd kr hi dege🎉🎉🎉🎉🎉🎉
Dalal hai media sala
Desh ka sabse murkh pradhamantri hamare desh me 😂😂😂
haren pandya and modi ka video banao bhai
❤❤❤❤❤❤
वह दूध रोटी भैया आपने तो आंखेंखोल दी
"मुझे लगता है आपको भारत मे जातीय व्यवस्था पर भी आपको बीडियो बनाना चाहिए और भीमराव के आजादी में योगदान और महत्वपूर्ण केश को भी डीकोड करना चाहिए  ।
साइमन कमीशन और लाला लाजपतराय पे भी ।"
Ravish Kumar 2 Dhruv rathee🎉🎉❤
❤❤❤
",, बहुत बहुत धन्यवाद।"
I agree with brainwashing. But indian old proceedings r itself scientific. I can prove that
0 Hindu ke bare mein mat bol Varna ghar mein ghus ke loade maar denge
Bhai pahle to apna dimag ka use kar le
Kuki party
Ye brain wash Sirf India tk mehdod nh h yahn k Hindu b yahe sochte h
Men Pakistan se hn ap Boht acha kam kar rhe hn
❤Salam h apko dhrv bhai
"Great work brother 👍 


Allah pak AP ki hifazt kry ameen"
Great 👍 man  👍
King 👑  man I am Big fan from Nepal sir
"Support from Nandurbar , Maharashtra 💪🙏"
Gajab
Modi modi.. Firse akbar modi sarkar❤
"Yes sir you are not an antiman
New"
Thanks
Ye video to pura system ko expose  kar diya
तू राहुल गांधी के पीछे से हुआ है क्या प्रियंका गांधी के पीछे से
तू बढ़िया प्रियंका गांधी के पूड़ी से हुआ के राहुल गांधी
क्योंकि तू छक्का है तेरी औकात नहीं है मोदी के बारे में बात करने
❤
"ਬਹੁਤ ਸਾਰੇ ਭੁਲੇਖੇ ਜੋ ਗਲਤ ਹਿੰਦੂਵਾਦ ਦੁਆਰਾ ਫੈਲਾਇਆ ਜਾ ਰਿਆ ਸੀ ਦਾ ਪਰਦਾਫਾਸ਼ ਕੀਤਾ ਤੁਸਾਂ ਧਰੁਵ ਜੀ 
Lot of thanx ji"
Hindi me message bhejiyega .
"Hum agar unke khilaaf video banakar  Instagram, YouTube par upload kare Hume jail vi ho sakta hai 😥😰😰"
Thank you dear
App aise hi video banaye but bd me ap vi bik mt jana🥺
Oww sir brilliant
Juice mai toilet peene ke liye taiyar raho ab.
❤
❤
You are a real hero bro
Modi jo kale jadoo kerwata hai awam ko qabo kerne k leye zara is ko sarch kero yahi sach hai sab shetani hathkande 8stamal kerta hai.
❤
"Jio ke Mobile ka,   WhatsApp se pehley ka  First Step thaaaaaa  !!"
Baja dale
Aapko science jaldi se jakar baat karni chahie
Nhi to sach btao sabit krke
"God bless you ❤ Dhruv ji thanks 👍, Allah give you success"
"P M anpadh , unke bhakt bhi anpadh"
Pahle itna jaam nahin lagta tha battery riksha wale bich sadak mein Khade hokar jaam lagate Hain
Bina number ke battery riksha chalte Hain monthly entry dekhen
"A FEW OF PEOPLE TRY TO CRUB OUR NATIONALITY....

Dare huye log (afraid ones)  DEMOCRACY ko samajhne ki koshish bhi nahin karte"
Modi hatao Desh Bachao
Andbhakton is  bhai ka ek jawab to do😂😂😂
❤
श्री धुव राठी सर जिंदाबाद बहुत बहुत धन्यावाद 🙏🙏🌷🌷🙏🙏
Jab tak log paise leke vote karenge change nai hoga india
L u bhai
मेरा वोट नहीं जाता है मोदी को
🛑🛑🛑🛑😡😡😡 ध्रुव राठी को काँग्रेस पैसे देती हैं| क्योंकी वो जो भी व्हिडिओ बनाता हैं| उसमे वो सिर्फ बीजेपी और मोदी पर हमला करता हैं|
Yes bhai
Dhruv Rathi bhaijaan Ham Aapke Sath Hain Allah aapko sehat tandurusti De ❤❤❤❤❤❤❤ Jay Hind 🇮🇳
hi how therethere  were  no women in rss conffrence .  i heard these guys do not arry how their family progress
Assam🎉🎉🎉
Weldon bro 🎉🎉🎉🎉🎉🎉🎉🎉
Akayle  hi chale ho janib manzil magar ! Inshallah log ayengi aur qafla banega !! My sweet bachcha dhurv !!!!
Atal bihari वजपाई par वीडियो banye
❤
❤
Why india destroy Babre masque to bulid a Ram mander😢😢
Jay ho۔❤
Itana bada dimag kisi ka nahi dekha bhai jan
Salam he Dhruv Rathee ji aapko
Aaj dekha hai riyal hero❤❤❤❤
Very good job bro
Proud of you brother @dhruvrathee
👌🫵👍
Aur ye mahatma gandhi ki baate kar raha h wo khud ek chor tha non-violence ke naam par apne hi desh ke freedom fighter ko fasi pe chada diya
👏👏👏
Koi bhi news sahi h ya nhi use kaise pta lagaye
Jay hind 🇮🇳🇮🇳🇮🇳🇮🇳
Thank you
24:35 ❤❤
Brother tumhari bate to pura sahi hae 😂😂😢😢😢
yes❤❤
ये सबसे बड़ा झूटा है ये news yesha leta hai😮😅
Bhai sab log ko jel bhej denge bhai
😪
Ok
News ka Raja Tum Ho good 💯 good 👍👍👍❤
Dusra name ambedakr hai apka d.r
Thanks
Excellent topics
Bhaiya...... really I am very big fan of your.........aapne hi mere andar interest jaga dii politics ko lekar.....warna mein bss ek puppet thi ab jaake ek Indian ban ne ki feelings aayi hai ❤
What the hell u talk
बुद्ध के विचारधारा से चलेगे तो सब कुछ सही होगा
"❤❤❤
 😂😂😂"
❤❤❤❤
রিপাবলিক বাংলা ; মিথ্যা গুজব ছড়াচ্ছে
সত্য সংবাদ প্রকাশ করায় আপনাকে ধন্যবাদ।
Jai hind
मुझे ध्रुव राठी इस लिए पसंद है कि उसका दिमाग हेग नहीं है इसलिए मैं में हर उस व्यक्ति को सेल्युट करता हूं जिसका दिमाग हैंग नहीं
There next god how many left????? His an idiot.
❤❤
"As usual, great effort  by you❤"
Thanks Bro
"आप भी बड़े लेवल के ब्रेनवॉशर हैं.  शब्दों और युक्तियों का उपयोग करके आम लोगों का ब्रेनवॉश करें।  लोगों को एकता के सपने दिखाने के लिए प्रेरित किया जा रहा है।  यह वास्तव में एकता की आवश्यकता है।  लेकिन आपको देश हित में, जनता के हित में निष्पक्ष होकर बोलना चाहिए, मैं देख रहा हूं कि आप पूरी तरह से मोदी विरोधी हैं।  आप जो कहते हैं उससे ऐसा लगता है कि विपक्ष आपको प्रति वीडियो कमीशन देता है।"
Y video sabi indians ko dekhna  chaiye
रविश जी ध्रुव अभिसार और भी कुछ देश के ईमान दार लोग मिल के काम करे तो देश का काया कल्प हो सकता है
एकदम सही कहा भाई ध्रुव ने
Briliant analysis
Salute to you DHRUV RATHEE ji....bohot himmat hai
Love you bro ❤ Thank you 🙏
Transparency in ur knowledge❤ support everyone
I support ❤u bhai
Nutshell knowledge
"Kyo nh khege ye log, inko rojgaar ki tention h hi nh, green se puchho"
100sahai
Very nice nollage
Modiji is zindabad. He is not  tooti chor ( thief)
তোমার ভিডিও ফেক 😃😃😃😃
❤❤❤❤
Make a complete true informative content on pogram riots of Guzrat 2002
2:49 to 2:58 next level roasting 😅😅
Dil se salute 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🙏🙏🙏
Guys share this video as much as possible. United we can save our fellow Indian people
DHRUV RATHE BRAIN WASH 🤣🤣🤣
❤❤❤❤❤❤😊😊😊😊😅😅😅😅
Bahut khub bhai❤
Good
Beshk Insha Allah
Thuk kar chatna koi iss se sikhe
Ap btate jawo baki h usko follow krne ko bhaiya
Right ❤❤❤❤❤
"ਦੀਵਾਨੋ ਸੇ ਮਤ ਪੂਛੋ ਕੀ ਚੋਟ ਕਹਾ ਕਹਾ 
ਲੱਗੀ ਬਤਾ ਨਹੀਂ ਪਾਏਗਾ ਹਰਾਮ ਖਾਣੇ ਕਿ 
ਆਦਤ ਹੈ ਸਾਹਿਬ ਜੂਤੈ ਵੀ ਬਹੀ ਖਾਏਗੇ
ਕਾਟੋ ਸੇ ਉਲਝੇਗੇ ਤੋ ਫੂਲੋ ਸੇ ਰਸ ਕਹਾ 
ਪਾਓਗੇ। ਜੂ ਹੀ ਲੋਕ ਤੁਮਹੇ ਮੂਰਖ ਬਣਾਏਗੇ।"
True💯💯
❤ good 👍
Well said ...
dhrav rahee ko ban karo isne sabka brain wash kara hai
dhrav rahee ko ban karo isne sabka brain wash kara hai
dhrav rahee ko ban karo isne sabka brain wash kara hai
dhrav rahee ko ban karo isne sabka brain wash kara hai
dhrav rahee ko ban karo isne sabka brain wash kara hai
"Why do you not ask?? And make some efforts to expose these people manipulating the people with such sitty,baseless things??"
Correct assessment.modhi jayegaa
The biggest brainwasher is talking about brainwash...Be neutral atleast.. Ye nhi ki kisi trust se paisa mil rha ho 2 number kaa toh kuch bhi bolne lago tum Dhruv
🎉
"Right......
Dirty politics"
Thanks  I am with you.    Sadash USA
"Bhai Z++++++ Security ki Zarurat hai Tumheyy. Kash Mai Dila Paata. Sachh pe Sachh Boltey hee Jaa Rahey ho. Kuch toh Control karo.

Poori Maanav Jaati ko Reform karney Lagey ho. Logon ke Dada-Nana yeh Kaam Kartey theyy, Aagey ki Peedhiyon ke Bhaley ke liye, Abb yeh Bidaa Aapney Uthha liya hai. Jiss Mazbooti se Aagey badh rahey ho, Lagta hai Beda Paar Karakey hee Rahogey. Nice Initiative. - Nilesh Borse"
❤❤❤ nice pic bro
Phir se election ho chaiye
You are great.
❤❤❤❤❤
Good
Great.
Darm ke naam par jhagada
Exactly right
"Hasi nahi ruk Rahi....
Ek baar gurubani pad kar dekh"
Very nice
"24:16  Dhruv rathee  , have you read our Ved either ??"
YouTube agar ham dekhte h Bhai to sirf aapki video dekhne ke liye ❤ bhut Kuch seekhne ko milta h or sach ka pta chlta h 👍👍
Thank for Really information
Good
Respect button for Dhruv Rathee 🫡🩶✔️
You are correct Dhruv Rathee now I will not believe on WhatsApp Mafia and brain wash
Kha se aata h bhaii tera pesa sayed amrika se
Correct @11:30 Ahmediyyyas are not Muslims they are Proud Qadiandooos
❤❤❤❤
❤❤❤
Thnx for important news.
Yhi sach hai
😂😂😂😂
😂😂😂😂😂
No harmed nationalism 😅
"Pls let me know how to be with you or help you, that what a ture indian has to be."
"Dhuru great may god protect and safe you from evil people and their ideology,"
Good bro
"I congratulate you for this noble work. Jay Hind.,🌹🌹🌹"
Dhruv bhai indian ka hero
Love you brother ❤❤❤❤
"India will be the next Pakistan, Hitler, Saudi Arabia, Qatar, Egypt, Jordan, Syria, iraq and Afghanistan 
Because of andbhakti,andwishwaas"
Jitni bhi apki tareef karoon wo bhi kam nice dhruv bhai
Vha Dur sar
Hey bhagvaan ....gajab ...dhruv sir thanq so much
Yes ...
Thanks sir
"Bhai ji dairy industry,meat industry par ek video to banta hai"
Guts and glory❤
DHRUB RATHEE SHIAL PANDIT. JYADA BAT MOT KORO.
Bangla desh  me hindu kam kiu huya
Kya video he yaar nice😊😊
Dhruv rathi you're absolutely fantastic you're very knowledgeable
"अंध भक्तों की हालत ट्रक में लटके हुए जूते की तरह है 
ना कोई फेंकता है ना कोई पहनता है"
EVM tampered
After all human  being becomes a God in it's  deeds The best  process is education  Hare khrishna
Went to a family get together recently. The amount of communal hatred and misinformation being discussed there was astonishing. Reminded me of this video by Dhruv. This is a serious disease that has effected all our loved ones. Hope we get well soon.
Jai hind ❤
❤❤❤
Love from jabalpur .... inqalaab jindabad❤
Bahut bariya bhai😮😮😮😮
Thanks for these clarifications
🙏
ধূপভাই আপ মুদী কা বারেমৈ বৌলরহা হে কভী মুসলিম কা বারেমে বৌলকে দিরাইয়ে
❤❤❤
I agree
Kudos to you 🙌🏽
Boss Pakistan me b isa he chal Raha  ha.
Zabrdast bro schahi Jeet ha❤
Zabrdast bro schahi Jeet ha❤
Kay.bat.ha.danya.ho.
Free Tibet free India proud of you mr rathee
Good 🇮🇳 👍 🎉😂
❤
Indian fool 😂
Youtubers ❌ Deshbhakt ✅
Sir sudhi  koyala ghotala  ek car
Kya baat hai bhai 😊
मुझे समज नहीं आता ऊध्दव जी संजय राऊत को सावरकर कीव पसंन आते है सुननेमे आता हे सावरकरांनी ईग्रज सात कुच पैसोके लीये काम करना पंसन कीया था
"Dear Dhruv Rathee, 
You are a genius. Your videos are so truthful and interesting. No doubt, you have such a large following. Keep up the good work and God bless 🙌"
maine eek 8th class ke student ke rup se jyada kuch to nhi kar paya lekin 20 se 30 mere classmates ko samjhaya
Aaj fir se aae hu . 3rd time hai ye. I just am a big fan of Dhruv .
Andhvishwas
Rs 50 ka tel nahin Laga sakti Bal mein aur 5000 ka cylinder legi kutiyaa sali😂😂😂
Aap mere desh ke bare mein itna achcha sochte ho thank u 😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Bhai I love u
Bro is manipulating us when it comes to politics everyone dont believe on him first make ur own research ❤
❤❤❤❤❤❤
Rathee ji ap ek kam karo muslim dharam grahan kar lo ji!
